task_key	support_ids	outline	status
checkpoint-10-4-why-split	c10s4-subsec-region-must-be-split	A disconnected slice needs separate intervals; a single lower-upper pair would fill its gap. The hint supplies the diagnostic before the worked islands calculation.	supported
checkpoint-10-5-extra-r-factor	c10s5-subsec-why-area-element	Arc length is r times angular width and radial thickness is Delta r; multiply to obtain r Delta r Delta theta.	supported
checkpoint-10-5-cell-size-varies	c10s5-subsec-why-area-element	For fixed radial/angular spans the rays separate in proportion to radius; exact sector difference also increases with r.	supported
checkpoint-10-5-why-symmetry-helps	c10s5-subsec-radial-symmetry	F(r)r is independent of theta, whose full-circle integral multiplies by 2pi.	supported
checkpoint-10-6-com-weighted-average	c10s6-subsec-center-of-mass	Sum position times small mass, then divide by total mass. Equal geometric weights would ignore the heavier side; the displayed prompt already gives the relevant numerator.	supported
checkpoint-10-6-inertia-r-squared	c10s6-subsec-moment-of-inertia	The supplied r-squared weighting quadruples when r doubles. The optional hint supplies speed r omega and squared-speed kinetic energy as physical explanation, so prior mechanics is not required for the numerical answer.	supported
checkpoint-10-6-same-integral-many-meanings	c10s6-def-mass-lamina,c10s6-def-probability-density,c10s6-def-average-value	Each f Delta A is a local amount; addition is identical while units and normalization determine interpretation.	supported
checkpoint-10-7-meaning-of-convergence	c10s7-subsec-unbounded-regions	First integrate on radius-A disks, then let A tend to infinity; convergence means finite limiting totals.	supported
checkpoint-10-7-why-comparison-works	c10s7-subsec-convergence-comparison	For integrable truncations the running totals are increasing and bounded by 3pi, hence have a finite limit. The following supplied comparison theorem states the needed truncation-integrability condition.	supported_at_stated_informal_level
checkpoint-10-7-why-polar-cracks-gaussian	c10s7-subsec-gaussian-integral	The polar factor r makes u=r squared have du=2r dr; finite square/disk squeeze has already justified the double-integral route.	supported
c10s8-ex-cc-01	c10s1-def-double-integral	Positive area element, represented in sums by small cell area.	supported
c10s8-ex-cc-02	c10s1-subsec-area-as-limit-of-sums	Each cell contributes 1 times its area; summing gives area.	supported
c10s8-ex-cc-03	c10s3-def-iterated-integral	Signed cross-sectional integral at a frozen outer coordinate.	supported
c10s8-ex-cc-04	c10s4-subsec-reversing-the-order	The new slices have different endpoints; describe the same set before writing limits.	supported
c10s8-ex-cc-05	c10s4-def-type-i-region,c10s4-def-type-ii-region	State x interval with y between two x-dependent graphs versus y interval with x between two y-dependent graphs.	supported
c10s8-ex-cc-06	c10s5-subsec-why-area-element	Radial thickness times arc length r Delta theta.	supported
c10s8-ex-cc-07	c10s5-subsec-radial-symmetry,c10s5-subsec-shifted-circle	Circular boundaries or radial integrands simplify under x=r cos theta,y=r sin theta.	supported
c10s8-ex-cc-08	c10s6-def-mass-lamina	M=integral rho dA.	supported
c10s8-ex-cc-09	c10s6-def-moments-center-mass	Distance to y-axis is measured by x and distance to x-axis by y, with signed moments.	supported
c10s8-ex-cc-10	c10s6-def-average-value	The constant value producing the same total over the same positive area.	supported
c10s8-ex-cc-11	c10s7-subsec-unbounded-functions	1/r on the unit disk has integral 2pi; shrinking ring area offsets its growth.	supported
c10s8-ex-cc-12	c10s7-ex-decay-too-slow	1/(1+r squared) tends to zero but ring-weighted radial integral grows logarithmically.	supported
c10s8-ex-cc-13	c10s7-thm-comparison-test	Nonnegativity, ordered bounds, integrability on bounded nonsingular truncations, and convergence/divergence of the comparison function.	supported
c10s8-ex-sk-01	c10s3-thm-fubini-rectangles	Integrate y first: 2x+4; then x from 0 to3 gives 21.	supported
c10s8-ex-sk-02	c10s4-thm-type-i	Inner result x cubed+x squared/2; integrate 0 to1 to get 5/12.	supported
c10s8-ex-sk-03	c10s4-def-type-i-region,c10s4-def-type-ii-region	x:0..4,y:0..x/2 or y:0..2,x:2y..4.	supported
c10s8-ex-sk-04	c10s4-thm-type-i	x:-2..2,y:x squared..4; integral x squared(4-x squared) dx=128/15.	supported
c10s8-ex-sk-05	c10s4-subsec-reversing-the-order	x:0..1, y:0..x.	supported
c10s8-ex-sk-06	c10s4-subsec-reversing-the-order	x:0..2, y:0..x squared.	supported
c10s8-ex-sk-07	c10s5-thm-double-integrals-polar	Integrate r over r:0..3,theta:0..pi gives9pi/2.	supported
c10s8-ex-sk-08	c10s5-thm-double-integrals-polar	Integrate r cubed over r:0..2 and full angle gives8pi.	supported
c10s8-ex-sk-09	c10s5-thm-double-integrals-polar	2pi integral r/(1+r squared) dr from1 to3=pi log5.	supported
c10s8-ex-sk-10	c10s6-def-mass-lamina	3 integral(1+x) dx from0 to2=12.	supported
c10s8-ex-sk-11	c10s6-def-moments-center-mass	Mx=18, My=14, mass12, center(7/6,3/2).	supported
c10s8-ex-sk-12	c10s6-def-probability-density,c10s4-thm-type-i	Square integral x+y=1 gives C=1; integrate x+y on x:0..1,y:0..1-x to get1/3.	supported
c10s8-ex-sk-13	c10s6-def-average-value	Triangle integral(x+y)=1/3; divide by area1/2 to get2/3.	supported
c10s8-ex-sk-14	c10s7-thm-comparison-test,c10s7-def-improper-unbounded-region	Direct polar integral2pi integral_0^infinity r/(1+r squared)^2 dr=pi.	supported
c10s8-ex-sk-15	c10s7-ex-decay-too-slow	Polar truncation is pi log(1+A squared), which diverges.	supported
c10s8-ex-sk-16	c10s7-subsec-convergence-comparison	Exponent p=3/2<2;2pi integral_0^1 r^(-1/2)dr=4pi.	supported
c10s8-ex-sk-17	c10s7-subsec-unbounded-functions	2pi integral_epsilon^1 dr/r diverges.	supported
c10s8-ex-sk-18	c10s7-subsec-gaussian-integral	Substitute u=2x to get sqrt(pi)/2.	supported
c10s8-project-estimating-rainfall	c10s2-ex-midpoint-estimate,c10s2-subsec-numerical-estimates,c10s6-def-average-value	Six deliverables: draw4x3cells; sum39.7 times4=158.8 cm km squared; convert by10000 to1588000m cubed; divide by48 to3.30833cm; indicate maximum near(5,3); discuss unsampled peaks. Worked parts supply the arithmetic, and contour interpretation was taught10.2.	supported
