task_key	support_ids	outline	status
c11s7-cc-1	c11s1-def-triple-integral-first-meaning	Positive volume element represented by cell volume.	supported
c11s7-cc-2	c11s1-subsec-volume-as-triple-integral	Sum cell volumes with weight1.	supported
c11s7-cc-3	c11s1-subsec-volume-as-triple-integral	Unsigned volume versus alternating oriented coordinate volume form; no general three-covector expansion is needed.	supported
c11s7-cc-4	c11s2-def-z-simple-solid	Every vertical slice is one interval between two graphs over the xy shadow.	supported
c11s7-cc-5	c11s2-subsec-compact-guide	Fix the two outer coordinates; their allowed set is the projection perpendicular to the inner axis.	supported
c11s7-cc-6	c11s3-subsec-volume-element	Angular arc length grows in proportion to r.	supported
c11s7-cc-7	c11s4-subsec-volume-element	Two angular edges contribute rho and rho sin phi.	supported
c11s7-cc-8	c11s4-tab-spherical-coordinates	Angle down from the positive z-axis.	supported
c11s7-cc-9	c11s3-subsec-cylinders-cones-symmetry	A circular cylinder has constant radial/vertical bounds.	supported
c11s7-cc-10	c11s4-subsec-balls-shells-cones	A centered ball has one constant radial upper bound.	supported
c11s7-cc-11	c11s1-thm-fubini-boxes,c11s2-subsec-changing-order	Different choices of inner slicing direction yield different nested inequalities for the same solid.	supported
c11s7-cc-12	c11s5-ex-positive-total-mass	The weighted averages divide by finite positive total mass; zero mass makes the quotient undefined.	supported
c11s7-cc-13	c11s5-def-moment-of-inertia	Squared distance x squared+y squared=r squared.	supported
c11s7-cc-14	c11s5-probability-in-three-dimensions	Nonnegative and total integral1.	supported
c11s7-cc-15	c11s6-subsec-what-changes-in-rn	Each of n side lengths is multiplied by positive a, giving a^n. Optional review route is marked.	optional_supported
c11s7-sk-1	c11s1-thm-fubini-boxes	Unit-volume means give6(1+1/2+3/2)=18, or integrate sequentially.	supported
c11s7-sk-2	c11s2-thm-triple-integral-z-simple	Integrate x+y over0<=y<=x,0<=x<=2: integral(3x squared/2)dx=4.	supported
c11s7-sk-3	c11s2-subsec-describing-by-inequalities	x:0..6,y:0..(6-x)/2,z:0..(6-x-2y)/3.	supported
c11s7-sk-4	c11s2-thm-triple-integral-z-simple	Use prior problem bounds with f=1; intercepts6,3,2 give nested integral6.	supported
c11s7-sk-5	c11s2-def-z-simple-solid	Above first-quadrant quarter disk x squared+y squared<=16, between z=0 and z=x+y.	supported
c11s7-sk-6	c11s2-subsec-changing-order	y:0..1,z:0..1-y,x:0..1-y-z.	supported
c11s7-sk-7	c11s5-def-mass-from-density	2 integral_0^3(2+x)dx=21.	supported
c11s7-sk-8	c11s5-def-center-of-mass	Nx=2 integral_0^3 x(2+x)dx=36, xbar=12/7; ybar=1,zbar=1/2 by reflection symmetry.	supported
c11s7-sk-9	c11s5-def-moment-of-inertia,c11s3-subsec-choosing-bounds	Iz=delta0 h 2pi integral_0^a r cubed dr=delta0 h pi a^4/2; M=delta0 h pi a squared. Uses supplied cylindrical formula whose justification is ROOT-02.	supported_formula_with_proof_gap
c11s7-sk-10	c11s3-subsec-volume-element	4*2pi integral_0^3 r dr=36pi.	supported_formula_with_proof_gap
c11s7-sk-11	c11s3-subsec-cylinders-cones-symmetry	2pi integral_0^5 (5-r)r dr=125pi/3.	supported_formula_with_proof_gap
c11s7-sk-12	c11s3-ex-radially-denser-pipe	4*2pi integral_1^3 (1/r)r dr=16pi.	supported_formula_with_proof_gap
c11s7-sk-13	c11s3-ex-cylinder-slanted-roof	Full theta and0<=r<=2; z:0..5+r cos theta gives20pi since cosine average0.	supported_formula_with_proof_gap
c11s7-sk-14	c11s4-ex-ball-cut-by-cone	phi:0..pi/4,rho:0..3,theta full;18pi(1-sqrt2/2).	supported_formula_with_proof_gap
c11s7-sk-15	c11s4-ex-first-octant-of-a-ball	Angles both0..pi/2,rho0..5;125pi/6.	supported_formula_with_proof_gap
c11s7-sk-16	c11s4-subsec-angular-bounds	2pi integral_(2pi/3)^pi integral_0^4 rho squared sin phi d rho d phi=64pi/3.	supported_formula_with_proof_gap
c11s7-sk-17	c11s4-subsec-radial-densities	4pi integral_0^2(3+rho)rho squared d rho=48pi.	supported_formula_with_proof_gap
c11s7-sk-18	c11s4-subsec-radial-densities	4pi integral_2^5 12 d rho=144pi.	supported_formula_with_proof_gap
c11s7-sk-19	c11s5-probability-in-three-dimensions	Cube integral(x+y+z)=3/2 so C=2/3; lower half integral=5/8 giving probability5/12.	supported
c11s7-sk-20	c11s5-probability-in-three-dimensions,c11s4-ex-volume-of-a-ball	C=3/(4pi); radius-half volume ratio1/8.	supported_formula_with_proof_gap
c11s7-sk-21	c11s7-coordinate-systems	Cylindrical, r<=2 and0<=z<=7.	supported
c11s7-sk-22	c11s7-coordinate-systems	Spherical, rho<=3 and0<=phi<=pi/2.	supported
c11s7-sk-23	c11s7-coordinate-systems	Rectangular, x,y already have constant bounds and z one affine upper bound.	supported
c11s7-sk-24	c11s6-subsec-what-changes-in-rn	Mass5*2*1*3*4=120; marked optional.	optional_supported
c11s7-sk-25	c11s6-subsec-volumes-balls-and-boxes	Prompt supplies formula; substitute R=3 to get81pi squared/2.	optional_supported
c11s7-sk-26	c11s6-ex-four-dimensional-quality-control-box	Uniform-volume ratio1^6/2^6=1/64.	optional_supported
c11s7-sk-27	c11s3-subsec-choosing-bounds	Angles differing by2pi yield the same point; angular interval4pi sweeps two full turns and doubles the volume integral.	supported
c11s7-sk-28	c11s1-subsec-volume-as-triple-integral	Coordinate form dx wedge dy wedge dz versus unsigned dV=dx dy dz; use the explicitly defined coordinate three-form, not an arbitrary product rule.	supported
c11s7-project-volume-formulas	c11s7-project-method-cubes,c11s7-project-method-cylindrical,c11s7-project-method-spherical	Five deliverables: describe cube centers versus meridian versus shells; evaluate the three explicit finite sums at four N; compare absolute errors to4pi/3; report observed error decay only; explain coordinate fit. All sum and sample formulas are supplied locally, so programming syntax is optional rather than a hidden mathematical premise.	supported_formula_with_proof_gap
